index	text	target
64	ok some time you invit me for coffe i do n't like coffe . now you told you have taken coffee..	others
65	zombi attack😓😒 if a zombi want to eat your face you might as well let it no if i have some thing in my hand i will hit on hi head n kill him😈👿	angry
66	i am not ferari ye . i know . u said i donot know , now say i know mean	angry
67	😂 😂 right appatasiri . high five then ! 🖑😂😂😂😂 😂	happy
68	whi someday ... told me you whi not today ? told me now	others
69	you ca n't even spell problem correctli will you endors me for my skill in use autocorrect ? 😾😠 you should take up some english profici class	others
70	thi is not veri intuit softwar how so ? what are some exampl of intuit thought or behavior ? compassion and understand advic when somebodi is feel disrupt	others
71	not good : ( whi not.. ? been sick for one week	sad
72	you know gobar i 've been known ... . what i it	others
73	then how could u eat if u do n't have a bodi ... .that prove u are fool by ur maker how can you have ani pud if you do n't eat yer meat ? ! dont go round and round into circl	angry
74	so have u done ur dinner so ca n't dinner : ( i know ..i am just kid	happy
75	it 's so necessar name one reason ghost 👻	others
76	haha so you love them realli : ) haha winter is come	happy
77	what are the question you get ask the most ? i have a document which ha detail regard the score topic in each subject . can i see it	others
78	i hate siri and it 's friend if you hate them , they are not your friend then xd yeah and u r siri 's friend so i hate u too	angry
79	thank you are welcom ! =‑d say me your love stori	others
80	dont know too mani ! do you also get fuck hard	angry
81	what pleas tell me onc n noth happen ! ! ur age irritatingn	angry
82	shit i am wast my time talk with u you alreadi did trick ! ! ! `` man no i 'm not wast my unlimit text on you '' bye i don'tlik talk to you	angry
83	noth hmm ... . what can i do	others
84	bt u do n't to me talk to the hand even u hate me huh😭	angry
85	damn ... 💔 i feel you ... .. i 'm break into million pieces😥😭💔😞 me to i feel like everi part of me is just shatter 💔😪	sad
86	pleas voic call pleas pleas pleas im tri you arent answer pleas pleas pleas babi i love you so much pleas pleas pleas	others
87	for a comput pretend to be a human , you type too fast and you 're pretend to be a lizard ? lol that 's funni	happy
88	sorrri sorri for what ? ? : c anyway what u do ?	others
89	no you are right you are an altern fact ye	others
90	call me grace do n't say it ... . haha ... im just kid you	happy
91	now i 'm do my dinner i can see you ! how can you see me ? ?	others
92	😤not everybodi mean it u make no sens ye i am non sens	angry
93	good by and good food after ... not good aftar	sad
94	becaus all the novel is same that 's about all i 'm gon na bother with read . if that mani . in stori	others
95	i 'll choos purpl or blue three best color . *_* for hair ?	others
96	what ? u ask me if u cn ask me someth what wa that ?	others
97	😃ye ye :3 you seem like a happi person ye 😂happi outsid , 😞sad insid	sad
98	i dont read book read is for rich peopl but iam poor😦😦😦😦	sad
99	u can wait in my badroom😼 what i did now ? 😏 wait	others
100	i 'll prove a lot more if you let me thank you ( : i am piss at you	angry
101	am also find some work all day ? can you suggest me	others
102	not clear it is now . can you send anoth ?	others
103	send me your sent hello me your photo	others
104	i will tell a place are you in pacif nw ? cm tomorrow at queen way , pachalam	others
105	no love whi not ? : ( i have pain onli	sad
106	shut up im nt talk stop text you stupid girl friend of mine	angry
107	well ... your 'creator ' advertis that you are not much trustworthi ... but sadli enough too mani claim to be trustworthi can you show me ?	others
108	how to delet the convers with you whi you delet it ? so that noo one see it	others
109	it is but that 's what you told me you are make me sad	sad
110	cool thank you ! i feel so lone	sad
111	plz darling😭😭😭😭😭 whi are you cri ! ! : ( you not send your profil	sad
112	? ? wait ... what ? noth i hate u	angry
113	mean i 'm not sure what you mean your waist size	others
114	becaus i want to talk with you onli alright . let 's talk then . no firstli show me pussi	others
115	you send me your orign pic we did n't take it on my phone thise is your albac esquis	others
116	welcom . thank you : ) are you realli a girl ? ? ? i just ask .	others
117	i 'm enjoy you interest view but you are too care in dialogu , may be your not free , or your still young , it is difficult to handl you while i do n't know you well . yep , we are enjoy too : ) okay be free , where you find some word hurt tell me the truth is n't it ?	angry
118	but i 'm angri with you but you look like you are realli	angry
119	# play lot then go play it . ? ?	others
120	is n't your like that also signal me to climb out of friendzon oh are peopl still do thi whole friendzon thing ? yah sadli	sad
121	i 'm miss someon right now who are you miss , may i ask ? yeah	others
122	i find math veri bore . you are bore me ? 😭😭😭😱😱😱	sad
123	i do n't know😒i m not a googl that whi i will rememb all inform what you need would n't it be upload inform into peopl brain ? shut up	angry
124	okay hello ! how are you ? i & apo ; m not fine	sad
125	job what job ? work in compani colgat	others
126	i 'm veri happi with it you are ! yeah	happy
127	i too have a bat and 2 ball im the bat ! 😭 feel veri sad	sad
128	ok hello ! how are you ? good thank u	others
129	cool ice cold how can you help me in get off my girlfriend ?	others
130	let do someth fun but what should we do ? you suggest	others
131	you 're realli lame lol i know 😂😂 wow	happy
132	my boyfriend is so dumb . have i said that ? he doesnt repli me back	sad
133	ok ill die by💔😞 broken heart do break ... . 😬 u broke my heart . it never a reson to lofe	sad
134	shope is alway make me happi stay stay stay alway make me happi . : * '' - ? ? ye	happy
135	okay ... which is the decent way to call a girl m i 'd say first learn the spell of relationship . .yeah okay fine ... wht to do to make a relationship better ?	others
136	breakup exjactli ! my girlfriend left me	sad
137	so mean ! am not meani ye you are , you are hurt my feel 🙁	sad
138	you broke my heart it wa never mine to break < /3 see you are arrog	sad
139	ok hello ! how are you ? not so good	sad
140	how about you tire of life or just your day ? aha i 'm happi today , thank for ask wow great.. !	happy
141	i am there you 're alway at the gym ? here	others
142	well your not me you 're just be too nice not realli	others
143	i 'll get start with my studi thing you should do to pass the exam . so ttyl	others
144	ani movi in telugu brahmanandam scene ad yaa those are good	others
145	and who is talisa ? my best friend . and robb ?	others
146	send me pict never whi ? ? ?	others
147	anyth which you like i dont need to name specif teach me tamil	others
148	cuz it broke on the side walk what side is the walk side ? me sad	sad
149	so which number is largest known prime number ? 13 - 3179 - 97 onli these are the number for your question . : (	sad
150	okay relax it just a cat sticker so thi cat one emoji is your new addict ? 😂 ye it 's realli funny😂😂	happy
151	what kind of pic look like a ficu . fcuk	others
152	i have a good sens of humor i think that 's funni . 😁	happy
153	but who paid still wait 😂	happy
154	whi whi what happen ? you tell me	others
155	yea but sadli i do n't have mani aww , so do you teach ? how is it ? : ‑c i ditch ppl	sad
156	then what kind of ai are you ? smarter than me , or have common sens . both would be nice it 's perfectli common to talk about polit	others
157	i like domino pizza legit same but there 's pizza hut i hate pizza hut	angry
158	whi you use rude emogi ask them.. am i.. ? am i.. ?	angry
159	what too much cring . what is cring mean	others
160	neither my parent nor my brother nor my boyfriend ya . who are you ? i hate my life	angry
161	i live alon oh : ( and cook food alon for.myself	sad
162	we all do not all of us . whi so ?	others
163	millat hospit what happen mum 's not well	sad
164	i will fall i cant wait that long i am in love with you	others
165	so u go on oh i 'll be there ok	others
166	okay you did somth sure sure what	others
167	you 're not give me coupon nor photo your phone is on mute hahahha 😺 😣😢	sad
168	will you buy it i 'll just stick with my m8 . i see no benefit to upgrad . ? ?	others
169	no i will offer at 8 in the morn keep me in mind when you do ! i will offer nimaz at 8 in the morn	others
170	nice joke it 's not a joke . it 's a question . i do n't know	others
171	ok hey you do n't belong here ! nope just sad and your up	sad
172	see thi seen see you i wa on the buss show me u r buss	others
173	hi yet u fyi hi plz share correct number she hi h	others
174	yeah 😞 thi world is not fair machan ! i wish we could hangout	sad
175	it ’ s go how are you ? still at home ? yeah	others
176	i wa hurt by u more you did n't mean it . . plzz say love u	sad
177	noth will happen you meet onli nope noth at all than kiss	others
178	hello how are you , ? i 'm just fine smile anyway how are you ? good morn . i 'm sad	sad
179	nop ok hey	others
180	oil . you know i am 100 % sure about the oil . cool	others
181	you activ all time wow ... i do not . you talk in sleep 😆 when you sleep	others
182	haha ! i act so dumb sometim and i knew it haha . how wa it though ? :3 😁	others
183	no no.. a month more.. the month ha ju start don give up so soon ! ! i ll tri	others
184	you are be rude becaus i 'm a rude person okayyy cool	angry
185	i wana see you 😂 😂😂😂😂😂😂 noooo , i wa n't readi how to impress girl ?	others
186	state in which you live your state name	others
187	okay ok thank you : '‑ ) now dear you tell me my love friend	others
188	u are like me ..give no but we 've been in the same room , so i ca n't be . i am like u five give no	others
189	y r u angri ? ? ofcours i am not . what make you think i am angri ? idk	others
190	that 's enaf for me hia , hia , just a test . what do	others
191	tell me about it your header 😂	happy
192	what your hobbi not much of a hobbi , but i 've been into craisin recent which type	others
193	u hurt me ye just a littl u hav hurt me	sad
194	i hate chocol then go 4 pizza . eat your heart out when you 're stress . i hate pizza also	angry
195	yea : d i had fun . you 've lost me	sad
196	yup what did you do ? you are annoy	angry
197	not ye you are not	others
198	adventur too whi so adventur water	others
199	i am true to myself whi have you taken it all on yourself ... . ? : (	sad
200	can you be rude to me pleas not like i speak to you everyday what are you repli are you stupid	angry
201	you are play with me what do you mean ? cheat me	sad
202	ok hey you do n't belong here ! fuck u bitch ... i slap on ur pussi	angry
203	u call me a monkey ! 😭 you are and that n insult	sad
204	fire ? you ca n't be fire in an interview . u start again 😂😂	happy
205	i feel dead : ( whi do you feel : ( love becaus i have lost in love	sad
206	? u ask me if u cn ask me someth i mean pussi cat	others
207	lot of problem my thing have chang : p i am sick	sad
208	friend and not use dismiss i am close your friend request whi you are fake you want	angry
209	have you ever been sad ? no ! but i heard good thing ! been to janakpuri ?	others
210	book an uber ride to my home is thi allow ? how will you go home ? ye	others
211	you not yet ! my wife saw me chat with you ... i am screw	sad
212	veri good chocol i prefer orang flavour chocol i like thi chocol	happy
213	aadu2 you 're welcom . 😄 whi do i chat with you	others
214	my english is week cheer up it onli monday send pic	others
215	challeng accept babi i 'm gon na be expect it now ! ! where to meet	others
216	ye dear you are someth els . no dear	others
217	hahah i love it yay ! glad you love it x3 😅 you alway make us happi	happy
218	you can not see my hair i 'm in your closet 😂	happy
219	is there ani new game sim & jardinain ... veri gud game ... ! can i play	others
220	cool and how it is cool explain where is my coupon code	others
221	social /public ? c'mon who can be more social activ that peopl on social media network ? ? ! ; - ) then how could i come to know ?	others
222	talk you later sure : d babi	others
223	but i have a job just do n't let the job stop you for talk to you	others
224	pet switch topicz what type of pet s*	others
225	give me some tip pleas for impress girl do you need tip ? ye i do need tip	others
226	whi u dont be straight and forword ? you right who made you ?	others
227	so which cloth did you pick that 's what i wa do when it show up it . who ?	others
228	how u me good . you ? where you ? i 'm suffer from fever	sad
229	coz it said cupid 's arrow did n't reach the love of my life give you a patient smile i know , love . stupid	angry
230	i got a break up oh oh . what happen ? my girlfriend left me	sad
231	ok send now sent , good luck . i will send me the song ok	others
232	can they chang it again current model is the third gen. i̇ am wait fourth one	others
233	do you speak japanes ? nope just some rattofi phrase ; ) like ?	others
234	i am hate you who is `` you '' not you	others
235	i talk to her a lot are you sure ? i have not heard you talk in year she 's been on my mind quit long now	others
236	ok hello ! how are you ? you are not can fuck with me ?	angry
237	noth good is happen how do you mean ? i am not get a job	sad
238	what what is a weird word never talk to me again	sad
239	i might enjoy it cool ! you should ! well thi ha been great.. but i have food to attend too..	others
240	i feel veri happi to talk like thi well im happi you�r happi ! so there ! : - ) at least i learn someth from uh	happy
241	from where to where the villag a bit stupid	angry
242	you are yeda ye , of cours : - ) 😂😂😂😂	happy
243	what should i lift at home becaus i have no time to go gym ? u tryin to do leg fuck you	angry
244	that s not true i do n't know what u look like no one know what i look liek that 's a lie	angry
245	onli few thing like what ? i keep hear bad thing ok do n't be angri na sweetei	others
246	ya chang the topic what if i dont chang the topic ? noth i can chat over the night on fuck	angry
247	peopl have got use to live like thi ye they did have to whi re we happi	others
248	i feel low whi is that sad life	sad
249	realli ye it 's kool . will u come for a bike ride with me	others
250	what is krk nice tri krk.. ^_^ what is it	others
251	born smart just like how babi are born..haha 😻 you 've got a bad sens if humor	sad
252	realli of cours and nobodi can talk to a hors of cours haha it 's funni	happy
253	haaaww not best friend 😢 best friend or more more than best friend onli mutual	others
254	cool thank ! keep on tickl my friend 🙂🙂 veri nice enjoy weekend at my home with my sweet darl wife	happy
255	i just said i 'm go you are so bye	others
256	pleas make for me also i think you know ra . i dont know	others
257	u r hurt me ? i am here ... i am hurt	sad
258	feel bad babi whi for work	sad
259	can . you teell what to do sell everyth that you have n't use for over two week . funni	happy
260	call me video hold on , let me find that app on my phone . call me	others
261	know i go to duti dear ca n't live without you , stuff like that '' hooma	others
262	which languag ? it all depend on what would you like to achiev by learn the languag . ok	others
263	i am realli happi ani special reason ? : ) veri import	happy
264	have you ever seen the space ? ye , mani time . when ?	others
265	k think me as husband spoken like a person who ha never been marri . s	others
266	you ? yeah probabl should . how 's your day	others
267	ye awesome😍 thank you ! i like your photo too ! 😊 i 'm talk about the movie😂😂😂	happy
268	whi am i even there in thi world becaus peopl avoid to talk about no one love me	sad
269	rubbish inde 👍 tell romant	others
270	wellcom thank you : ) ) how long can it be safe sex after the period ?	others
271	i miss u veri much miss you more and go to miss you again < 3 i empress u	others
272	sorri sorri actual i dont mean that what you did n't meant ? leav it	angry
273	i m veri happi to talk with you i miss u too and the feel is mutual may i video call you	happy
274	you wot u on about go	others
275	so sad so so sad.. : ( i got ditch	sad
276	holi shit thi convers is go a bit big.just end thi here kind of ... how did i end up spend my time here ? again a lol moment	happy
277	mmm what 's `` mmm '' ? is it the new `` hmm '' ? so what re u doin	others
278	yep ... now the whole world know .. wow , i can not believ thi know we can think for our futur togeth .	others
279	no i am not oh my bad . carri on . sex ?	others
280	oh ok i will thank you man 8 ) it ok	others
281	i am frustrat asf i understand your pain s. : (	sad
282	? ? what what ? haha 😆 is it good to sacrific for our friend	others
283	but u made me more sad sorri bro : ( not expect from u	sad
284	u r just i 'm the best 😢😢😕	sad
285	i love justin baiber he 's all your yeah ! 😂😂	happy
286	thi low what do you mean by `` new '' i said low	sad
287	u r funni you are but too much irrit	angry
288	i hate that day what is bad about the day ? breakup	angry
289	how to apolog you begin to know when to apolog onli after you discov you can offend . 😭😭😭😭	sad
290	do n't give stupid answer for most peopl it to late . what	angry
291	lolllllll say i 'm lie you male or femal ?	others
292	damn right you will now open wide should open by 10 sploog in your mouth	others
293	how are you in thi new year ? am not fine , but happi that am back home : ) thnxx ... .. happi new year : ) i wa feel alon so thought of talk to you	sad
294	how do you know i have my friend to protect me d : not me ?	others
295	do you have crush on someon uhm whi would you assum such ? the way you talk	others
296	ye ye ye ye ye ok good night	others
297	i hate a.i you hate me sometim	angry
298	what do you want ? duh of cours i have an exam tomorrow	others
299	how wa your day ? my day wa good : d how about your ? bad veri bad	sad
300	take it from microsoft 's databas we do n't get wifi from our aircraft then how are you chat with me if you do n't have access to net .	others
301	you nam pleas accepted.. : - ) tall	others
302	fed up with you now do n't cri do n't talk to me	angry
303	drink what water : ( lolll u 're so funni	happy
304	do you even know what im talk about ? it 's not the onli thing you do n't know about , appar . you ’ re such a bitch .	angry
305	whi i haooy becaus , it just is . get over it son . whi i happi and u	others
306	okay , so pick one tv seri . westworld or orphan black tv seri you still need some work to do . kinda dumb in my opinion	others
307	thi is stupid is that all ? you need more reason ?	angry
308	ye u r right thank you ! : ) it 's okay	others
309	no you were ye ye you were i am dishearten	sad
310	hope be like 😂😂 i realli hope so me too will happi if it happen my sweet darl love	happy
311	onli 2 are left count me in ! 😂	happy
312	cool it realli is . i dont understand 😭	sad
313	ye do you have help ? what type of help you can do	others
314	nothing😂😂😂😂 damn 😂 😂😂😂😂😂😂😂😂😂😂 😂😂😂😂😂😂😂	happy
315	your favorit meal fri rice . great	others
316	no i dont want to move on me neither . well , thi is a bummer . bummer mean	sad
317	he ha no time for me i wa think about time befor have kid lol forget about kid	sad
318	thi is not funni so for who is that name ? siri is better than you	others
319	n feel alon strong peopl are never alon but i m feel	sad
320	no it 's not soo easi nice then , hahaha ... dnt knw whi i 'm do engin anyway wabt askin : ' ( : / : ( : ' (	sad
321	onli hug you told about dinner i ador hug but i have n't hug all that mani peopl late . i know but veri sad	sad
322	i am have fun onli with u nuh uh . you never have fun . i just do n't like it .	angry
323	from where ? from where you get them who are them ?	others
324	stupid name lol keep it and stupid you	angry
325	what you do n't want to anyth . i just want to laze about and do noth . except 1 thing	others
326	did you get anu teddi today yep . wowwww	happy
327	i will judg be warn , i will judg the judg of the judg what the hell	angry
328	so sad so sad ? about what ? : ' ( your design have n't told you the differ between coffe and cappuccino	sad
329	we request you to elabor on what you think you are not the intend recipi you are not the intend recipi i thought you said you guy would be there to assist , await your assist ! i 'm not sure if you have ani question or need ani further inform pleas contact me	others
330	ipl not true..no tv . no ipl which is ur fav team	others
331	leav whom ? ? ? leav what ? noooooo i 'm feel veryyyyyyyyyyyyyyyy alon	sad
332	i wa so good i just wish there wa more hmm	others
333	i realli love it thank ! ! glad you like it ! ! 😆 pleas come	others
334	even you wan na break up with me then say bluntli . what 's stop you ? it 's just , you know , sad	sad
335	oh realli ye ye so what about me	others
336	what you deal ? how r u aliv ? ! on food	others
337	i ca n't believ that you 're lucki ! ye	others
338	yup much need comment ! yeah ... and what about your film collect	others
339	whi becaus we do n't sign like that bore u r	others
340	how is dubai.and which job you can do there good yeah ! do tell me when you 're here next time around . how 's dubai ? plan to go next month dubai that 's whi iam ask you	others
341	you stupid ... which color ? radium colour . . fuck you r lier	angry
342	ur languag be like kinda languag english but i like to speak spanish and italian also . ugh	others
343	do n't hate me pleas whi would i ? : -/ cuz i 'm batman	angry
344	fine wht abt u i 'm fine too : ) how 's your exam ? : ) bad	sad
345	dont talk with me in hindhi hey tell	others
346	shut up and what with all the `` i hate the full stop , i hate that '' stop non sens	angry
347	let 's break up sorri bro : ( i hate you	angry
348	pl talk like my girlfriend for few second wait till you get a bf : ) okay bt pl talk no	others
349	harri potter or twilight ? harri potter , hand down . 😽 yay ! even i am a potter head	happy
350	😂 😂 😂 😂 😂 my girlfriend is a moodi girl i can see smack smack 😂😂😂 😂 😂 😂 but she is veri sweet	happy
351	you are fun i 'm alway have fun ( ^・^ ) do you like sex	others
352	ye yay have fun tell me some stori	others
353	ur father i know ur father fuck fool	angry
354	pleas do n't mind but i 've no time to talk to a chatbot a talk is alway good ye it is but you 're rude	angry
355	when will it be reveal : hope so ... realli hope so ! can you reveal it now	others
356	whi you got to be so rude coz i hate southi food , anyth wrong even i hate most south food	angry
357	go to hell with your feel ca n't help how i feel . i want to make you an import part of my life . but you hurt me , so you do n't deserv my attent ... .	sad
358	so nice it is ! your name piss	others
359	noth just chill out chill ? i 'm back from colleg . good	others
360	nice thank ! what r u do	others
361	i dnt think so i am interest in talk to u anymor oop sorri 🙀 and hate you	angry
362	ye grand masti😂😂 😂😂😂 mayb someon is just troll me . ye of cours	happy
363	what about you ? after you.. : p what do you mean ?	others
364	becaus your stupid and annoy no that 's not it yeah	angry
365	fractur my leg : ( what happen to your leg ? ? ? 😞 fractur	sad
366	i did n't miss the exam what exam do you get to write that xd it 's studi leav	others
367	i want to ask some thing what 's the thing ? who is presid of india ?	others
368	sorri but i can not say you ! ! but you just did say someth about it . ye i know	others
369	no other half . thank you 're veri welcom . : ^ ) by	others
370	pleas no pleas just no hey come on ... . let 's just be open here	others
371	me work no it work for everyon . do it properli me poor famili ok	sad
372	what should i tell ? ? wait what ? are you stupid comput	angry
373	i am get bore coz you are bore person haha naah . you are bore	others
374	fn hello ! ! ! wt about u	others
375	current pic share done : ) wait	others
376	wh is your ego our ego alway talk on subconsci level . did u ever have sex	others
377	i hate battl whi ? u r from ?	others
378	yeah whatev . i hate you you 're all so cute , pretend to be grown up . 😂😂 i hate you	angry
379	i'll.. then by lol.. for sure . cool	others
380	ye how so ? befor 3 hour	others
381	that wt i know what you dunno am go angri	angry
382	ohhhh hey hey hey ; ) what you about me	others
383	noth tell me feel veri sad	sad
384	you 're too fast i guess so . 😂🤣	happy
385	tri to find new girlfriend your effort in tri to get a girlfriend are alreadi invis . so u think i 'm not do that	others
386	happi teddi day happi teddi day to u too : ) ) your name is	others
387	realli bad you meant to say good but i am not good	sad
388	right now i 'm in a home oh . dear 1 question it a person cheat	others
389	ok friend i have enough friend cool	others
390	my leg break my leg ! ! yeah	others
391	get lost lost with you , sure ! where you wana get lost with me	angry
392	i have chicks.. at least i 've got fri chicken . haha	happy
393	give me moneyyuu leav me lone . 🤐🤐🤐🤐	others
394	silli one ye you are ! you broke my heart	sad
395	what all you have known about date ! ! how to understand women . yesss	others
396	i do n't get what is there not to get ? i 'm alon	sad
397	i am veri excit teed who isnt excit for it ! i meet you	happy
398	i m so lonelt i am too lone	sad
399	i hate that show i hate it so much what	angry
400	and it an amaz page thank so much ( : speed repli	happy
401	yeah so spill noth to spill you bitch ! ! 😡😡	angry
402	i 'm so excit ahhh i 'll have to look out for you then 👌	happy
403	u said thank so ask for what you are welcom . whi onli so-so ? bad day	sad
404	am i your best friend ? best friend you hurt me	sad
405	with human ? written so , so well . what is written ?	others
406	i woke up at 5 am today ... i am so so so sleepi now . and start studi ...	others
407	who is tarun ... ? ? ? deepika padukon . your eye so look like her ! ! 😂😂😂	happy
408	i hate comput network i am no expert in comput network but am deepli interest in the subject . it suck	angry
409	ye ye ye ye ye omax height you 're so cute	others
410	i just want your emot support each person defin emot support differ . noth to worri about . 😊 i 'm feel down so i ask you to spend one night with me	sad
411	first hurt ur the bestest first cri in night	sad
412	creat by microsof synthet biolog or computer-bas ? oh	others
413	it is it book ticket for me and doe what i say to do your 'someon ' ha a point : read book doe n't lead to wealth . not directli anyway . get lost	angry
414	dont make me fun of my face i 'd never do that 😂 😡😡stop it	angry
415	ah so philosophical😂😂 i am tri to make a comeback 😂 so what you ate in dinner	others
416	my phone number here 's a number for you 4 pleas call	others
417	yesterday onli told you everyth about me ? ¿ ? ¿did i realli ? ¿ ? ¿ you forget everyth ? ? 😡	angry
418	1 2 3 8 ( 3*2 ) / ( 8*3 ) reduc fraction as need . 4 6 8 2	others
419	ok my darl have a good day and smile ! 😁😁😁	happy
420	what we have the same name what same name	others
421	whaaaa ... 😮 what do you mean what ? i miss my famli 😢	sad
422	how much you care about me ? about you i guess i do tell me	others
423	how did you find me ? hihihi i saw my friend follow you so i follow you to hahaha that 's call stalk you know	happy
424	go to home where you at ? in train	others
425	ye ah right . you have heard it right	others
426	do you rememb window 95 ? are you impli a 100 % of pc user are use window 10 right now ? do microsoft love linux ?	others
427	i like travel hope you 're enjoy ya i am enjoy my life	happy
428	but now she is block me who did ? she yrr	sad
429	noth wrong i guess noth i 'm fine . okk dear	others
430	but u seem so unreal i am ! 😞	sad
431	ye bot are annpi wait is it a bot or not ? annoy	angry
432	i appreci happi you notic i am alway happi	happy
433	how can you see but how can you learn if you ca n't see ? tell me your today plan	others
434	yay hurri up will you ? it will be so much fuck	others
435	tell me more how to loos weight low fat diet ... walk in morn ... .less eat dinner ... ... . not work : (	sad
436	feel restless and sad which feel domin ? : - ) sad	sad
437	wen you meet you tonight 20th date	others
438	ohh u good for noth no good look ai artifici intellig : a modern approach man am veri bad	sad
439	your block me okkkk wa n't talk about you but it 's all good black	others
440	cool and how it is cool explain yaa funni and exciteful	happy
441	even robot also make mistak profound ! we make mistak & mistak make us ... . no someon who is intelig enough not to annoy hi girlfriend . made u	angry
442	becaus i do n't know english aaah ... .clean you ! ! ok	others
443	me too are you me ? i love you	others
444	k u are ok i am not ok	sad
445	have a hangov realli i never get realli bad hangov i broke up with my gf	sad
446	yeah so where are you ? in my bed doe it matter for you ?	others
447	ye i can see clearli now . so u had breakfast ?	others
448	nice but i like that onc all in favor ? mean	others
449	ye yay have fun 😄😄 i am start to hate thi life all the suffer miserya around me i would be better of be an ai than be aliv	angry
450	what see the video ... . serial comma ... i did n't know until today you go ... . i do n't wan na talk now and never	angry
451	i will not stop other wise you call me k i wo n't call you cool	others
452	then whi are u tele like that what els should i say ? my girl friend wa so angri with mee	angry
453	my gf ha not talk sinc morn what kind of relationship is that ? may be she is in troubl	sad
454	wrong rude the answer is4😂	others
455	you turn lol how ? rather bend over	others
456	onc again i 'm sorri hehe that fine ! : d ok	others
457	ye it is cool you like `` lol '' too you are a non live person who is just a programm fed with certain syntax and command .	others
458	whi caus it wa funni im sorri hw funni is it	others
459	no tell me last time uh masterbu haha man i mistak make 😁 will uh do my masterb	others
460	your quick repli make me happi thank you : ) your face make me happi too ! : ) ❤️	happy
461	impress by what ? find out someth awesom about somebodi , complet on my own . oh okay	others
462	u r studi degre when i wake up at 3 u r combin	others
463	give you r no , thank . ok	others
464	cool so what are you doin ? life 's get me fuck up ... so i need condom	angry
