ndex	text	target
172	yes , mostly on my foot .	others
173	where be you ticklish ?	others
174	i be sorry	angry
175	we be sorry for create your nation .	angry
176	i be not teach to u	angry
177	idk	sad
178	you know that i 'm here for you .	sad
179	but u do n't like to listen to me😭😭😭😭	sad
180	how do u know that ?	others
181	this little thing call the `` internet '' .	others
182	bye	others
183	yes . your picture	others
184	ah , now i see , my phone crop the picture . thanks . 🙂	others
185	lieeeeeee	others
186	love be my life	others
187	hayee ab . you be love . pure love . forever < 3	others
188	yes right dear	others
189	well you expect wrong !	happy
190	lol . well , ok then .	happy
191	lol your robot face	happy
192	ok some time you invite me for coffee	others
193	i do n't like coffee .	others
194	now you tell you have take coffee..	others
195	zombie attack😓😒	angry
196	if a zombie want to eat your face you might as well let it	angry
197	no if i have some thing in my hand i will hit on his head n kill him😈👿	angry
198	i be not ferari	angry
199	yes . i know .	angry
200	u say i donot know , now say i know mean	angry
201	😂 😂 right	happy
202	appatasiri . high five then ! 🖑😂😂😂😂	happy
203	😂	happy
204	why someday ... tell me you	others
205	why not today ?	others
206	told me now	others
207	you ca n't even spell problem correctly	others
208	will you endorse me for my skill in use autocorrect ? 😾😠	others
209	you should take up some english proficiency class	others
210	this be not very intuitive software	others
211	how so ? what be some example of intuitive thought or behavior ?	others
212	compassionate and understanding advice when somebody be feel disrupt	others
213	not good	sad
214	: ( why not.. ?	sad
215	be sick for one week	sad
216	you know gobar	others
217	i 've be know ... .	others
218	what i it	others
219	then how could u eat if u do n't have a body ... .that prove u be fool by ur maker	angry
220	how can you have any pudding if you do n't eat yer meat ? !	angry
221	dont go round and round into circle	angry
222	so have u do ur dinner	happy
223	so ca n't dinner : (	happy
224	i know ..i be just kid	happy
225	it 's so necessar	others
226	name one reason	others
227	ghost 👻	others
228	haha so	happy
229	you love them really : ) haha	happy
230	winter be come	happy
231	what be the question you get ask the most ?	others
232	i have a document which have detail regard the score topic in each subject .	others
233	can i see it	others
234	i hate siri and it 's friend	angry
235	if you hate them , they be not your friend then xd	angry
236	yeah and u r siri 's friend so i hate u too	angry
237	thanks	others
238	you be welcome ! =‑d	others
239	say me your love story	others
240	dont know	angry
241	too many !	angry
242	do you also get fuck hard	angry
243	what please tell me once	angry
244	n nothing happen ! !	angry
245	ur age irritatingne	angry
246	shit i be waste my time talk with u	angry
247	you already do trick ! ! ! `` man no i 'm not waste my unlimited text on you ''	angry
248	bye i don'tlike talk to you	angry
249	nothing	others
250	hmm ... .	others
251	what can i do	others
252	bt u do n't to me	angry
253	talk to the hand	angry
254	even u hate me huh😭	angry
255	damn ... 💔	sad
256	i feel you ... .. i 'm break into million pieces😥😭💔😞	sad
257	me to i feel like every part of me be just shatter 💔😪	sad
258	please voice call please please please	others
259	im try you arent answer	others
260	please please please baby i love you so much please please please	others
261	for a computer pretend to be a human , you type too fast	happy
262	and you 're pretend to be a lizard ? lol	happy
263	that 's funny	happy
264	sorrry	others
265	sorry for what ? ? : c	others
266	anyways what u do ?	others
267	no you be right	others
268	you be an alternative fact	others
269	yes	others
270	call me grace	happy
271	do n't say it ... .	happy
272	haha ... im just kid you	happy
273	now i 'm do my dinner	others
274	i can see you !	others
275	how can you see me ? ?	others
276	😤not everybody mean it	angry
277	u make no sense	angry
278	yes i be non sense	angry
279	good by	sad
280	and good food after ...	sad
281	not good aftar	sad
282	because all the novel be same	others
283	that 's about all i 'm gon na bother with reading . if that many .	others
284	in story	others
285	i 'll choose purple or blue	others
286	three best color . *_*	others
287	for hair ?	others
288	what ?	others
289	u ask me if u cn ask me something	others
290	what be that ?	others
291	😃yes yes	sad
292	:3 you seem like a happy person	sad
293	yes 😂happy outside , 😞sad inside	sad
294	i dont read book	sad
295	reading be for rich people	sad
296	but iam poor😦😦😦😦	sad
297	u can wait in my badroom😼	others
298	what i do now ? 😏	others
299	wait	others
300	i 'll prove a lot more if you let me	angry
301	thank you ( :	angry
302	i be piss at you	angry
303	be also find some work	others
304	all day ?	others
305	can you suggest me	others
306	not clear	others
307	it be now .	others
308	can you send another ?	others
309	send me yours	others
310	sent	others
311	hello me yours photo	others
312	i will tell a place	others
313	be you in pacific nw ?	others
314	cm tomorrow at queens way , pachalam	others
315	no love	sad
316	why not ? : (	sad
317	i have pain only	sad
318	shut up	angry
319	im nt talk	angry
320	stop texting you stupid girl friend of mine	angry
321	well ... your 'creators ' advertise that you be not much trustworthy ...	others
322	but sadly enough too many claim to be trustworthy	others
323	can you show me ?	others
324	how to delete the conversation with you	others
325	why you delete it ?	others
326	so that noo one see it	others
327	it be	sad
328	but that 's what you tell me	sad
329	you be make me sad	sad
330	cool	sad
331	thank you !	sad
332	i feel so lonely	sad
333	plz darling😭😭😭😭😭	sad
334	why be you cry ! ! : (	sad
335	you not send your profile	sad
336	? ?	angry
337	wait ... what ?	angry
338	nothing i hate u	angry
339	mean	others
340	i 'm not sure what you mean	others
341	your waist size	others
342	because i want to talk with you only	others
343	alright . let 's talk then .	others
344	no firstly show me pussy	others
345	you send me your orignal pic	others
346	we do n't take it on my phone	others
347	thise be your albace esquise	others
348	welcome .	others
349	thank you : )	others
350	be you really a girl ? ? ? i just ask .	others
351	i 'm enjoy you interesting view but you be too careful in dialogue , may be your not free , or your still young , it be difficult to handle you while i do n't know you well .	angry
352	yep , we be enjoy too : )	angry
353	okay be free , where you find some word hurt tell me the truth be n't it ?	angry
354	but i 'm angry with you	angry
355	but you look like you be	angry
356	really	angry
357	# play lot	others
358	then go play it .	others
359	? ?	others
360	be n't your liking that also signal me to climb out of friendzone	sad
361	oh be people still do this whole friendzone thing ?	sad
362	yah sadly	sad
363	i 'm miss someone right now	others
364	who be you miss , may i ask ?	others
365	yeah	others
366	i find maths very boring .	sad
367	you be bore	sad
368	me ? 😭😭😭😱😱😱	sad
369	i do n't know😒i m not a google that why i will remember all information what you need	angry
370	would n't it be uploading information into people brain ?	angry
371	shut up	angry
372	okay	sad
373	hello ! how be you ?	sad
374	i & apos ; m not fine	sad
375	job	others
376	what job ?	others
377	work in company colgate	others
378	i 'm very happy with it	happy
379	you be !	happy
380	yeah	happy
381	i too have a bat and 2 ball	sad
382	im the bat ! 😭	sad
383	feel very sad	sad
384	ok	others
385	hello ! how be you ?	others
386	good thank u	others
387	cool	others
388	ice cold	others
389	how can you help me in get off my girlfriend ?	others
390	let do something fun	others
391	but what should we do ?	others
392	you suggest	others
393	you 're really lame lol	happy
394	i know 😂😂	happy
395	wow	happy
396	my boyfriend be so dumb .	sad
397	have i say that ?	sad
398	he doesnt reply me back	sad
399	ok ill die by💔😞	sad
400	break heart do break ... . 😬	sad
401	u break my heart . its never a reson to lofe	sad
402	shoping be always make me happy	happy
403	stay stay stay always make me happy . : * '' - ? ?	happy
404	yes	happy
405	okay ... which be the decent way to call a girl m	others
406	i 'd say first learn the spelling of relationship .	others
407	.yeah okay fine ... wht to do to make a relationship well ?	others
408	breakup	sad
409	exjactly !	sad
410	my girlfriend leave me	sad
411	so mean !	sad
412	be not meanie	sad
413	yes you be , you be hurt my feeling 🙁	sad
414	you break my heart	sad
415	it be never mine to break < /3	sad
416	see you be arrogant	sad
417	ok	sad
418	hello ! how be you ?	sad
419	not so good	sad
420	how about you	happy
421	tire of life or just your day ? aha i 'm happy today , thanks for ask	happy
422	wow great.. !	happy
423	i be there	others
424	you 're always at the gym ?	others
425	here	others
426	well youre not me	others
427	you 're just be too nice	others
428	not really	others
429	i 'll get start with my study	others
430	thing you should do to pass the exam .	others
431	so ttyl	others
432	any movie in telugu	others
433	brahmanandam scene add	others
434	yaa those be good	others
435	and who be talisa ?	others
436	my best friend .	others
437	and robb ?	others
438	send me pict	others
439	never	others
440	why ? ? ?	others
441	anything which you like	others
442	i dont need to name specific	others
443	teach me tamil	others
444	cuz it break on the side walk	sad
445	what side be the walk side ?	sad
446	me sad	sad
447	so which number be large know prime number ?	sad
448	13 - 3179 - 97 only these be the number for your question .	sad
449	: (	sad
450	okay relax its just a cat sticker	happy
451	so this cat one emoji be your new addiction ? 😂	happy
452	yes it 's really funny😂😂	happy
453	what kind of pic	others
454	look like a ficus .	others
455	fcuk	others
456	i have a good sense of humor	happy
457	i think that 's funny .	happy
458	😁	happy
459	but who pay	happy
460	still wait	happy
461	😂	happy
462	why	others
463	why what happen ?	others
464	you tell me	others
465	yea but sadly i do n't have many	sad
466	aww , so do you teach ? how be it ? : ‑c	sad
467	i ditch ppl	sad
468	then what kind of ai be you ?	others
469	smarter than me , or have common sense . both would be nice	others
470	it 's perfectly common to talk about politics	others
471	i like domino pizza	angry
472	legit same but there 's pizza hut	angry
473	i hate pizza hut	angry
474	why you use rude emogi	angry
475	ask them.. be i.. ?	angry
476	be i.. ?	angry
477	what	others
478	too much cringe .	others
479	what be cringe mean	others
480	neither my parent nor my brother nor my boyfriend	angry
481	ya . who be you ?	angry
482	i hate my life	angry
483	i live alone	sad
484	oh : (	sad
485	and cook food alone for.myself	sad
486	we all do	others
487	not all of us .	others
488	why so ?	others
489	millat hospital	sad
490	what happen	sad
491	mum 's not well	sad
492	i will fall	others
493	i cant wait that long	others
494	i be in love with you	others
495	so u go on	others
496	oh i 'll be there	others
497	ok	others
498	okay you do somthing	others
499	sure sure	others
500	what	others
501	you 're not give me coupon nor photo	sad
502	your phone be on mute hahahha 😺	sad
503	😣😢	sad
504	will you buy it	others
505	i 'll just stick with my m8 . i see no benefit to upgrading .	others
506	? ?	others
507	no i will offer at 8 in the morning	others
508	keep me in mind when you do !	others
509	i will offer nimaz at 8 in the morning	others
510	nice joke	others
511	it 's not a joke . it 's a question .	others
512	i do n't know	others
513	ok	sad
514	hey you do n't belong here !	sad
515	nope just sad and your up	sad
516	see this see	others
517	see you i be on the bus	others
518	show me u r bus	others
519	hi yet u fyi	others
520	hi plz share correct number	others
521	she hi h	others
522	yeah 😞	sad
523	this world be not fair machan !	sad
524	i wish we could hangout	sad
525	it ’ s go	others
526	how be you ? still at home ?	others
527	yeah	others
528	i be hurt by u more	sad
529	you do n't mean it . .	sad
530	plzz say love u	sad
531	nothing will happen you meet only	others
532	nope nothing at all	others
533	than kiss	others
534	hello how be you , ?	sad
535	i 'm just fine smile anyway how be you ?	sad
536	good morning . i 'm sad	sad
537	nop	others
538	ok	others
539	hey	others
540	oil . you know	others
541	i be 100 % sure about the oil .	others
542	cool	others
543	you activ all time	others
544	wow ... i do not . you talk in sleep 😆	others
545	when you sleep	others
546	haha ! i act so dumb sometimes and i know it	others
547	haha . how be it though ? :3	others
548	😁	others
549	no no.. a month more..	others
550	the month have jus start don give up so soon ! !	others
551	i ll try	others
552	you be be rude	angry
553	because i 'm a rude person	angry
554	okayyy cool	angry
555	i wana see you 😂	others
556	😂😂😂😂😂😂 noooo , i be n't ready	others
557	how to impress girl ?	others
558	state	others
559	in which you live	others
560	your state name	others
561	okay	others
562	ok thank you : '‑ )	others
563	now dear you tell me my lovely friend	others
564	u be like me ..give no	others
565	but we 've be in the same room , so i ca n't be .	others
566	i be like u five give no	others
567	y r u angry ? ?	others
568	ofcourse i be not . what make you think i be angry ?	others
569	idk	others
570	that 's enaf for me	others
571	hia , hia , just a test .	others
572	what do	others
573	tell me about it	happy
574	your header	happy
575	😂	happy
576	what your hobby	others
577	not much of a hobby , but i 've be into craisins recently	others
578	which type	others
579	u hurt me	sad
580	yes just a little	sad
581	u hav hurt me	sad
582	i hate chocolate	angry
583	then go 4 pizza . eat your heart out when you 're stress .	angry
584	i hate pizza also	angry
585	yea	sad
586	: d i have fun .	sad
587	you 've lose me	sad
588	yup	angry
589	what do you do ?	angry
590	you be annoy	angry
591	not	others
592	yes you be	others
593	not	others
594	adventure too	others
595	why so adventurous	others
596	water	others
597	i be true to myself	sad
598	why have you take it all on yourself ... . ?	sad
599	: (	sad
600	can you be rude to me please	angry
601	not like i speak to you everyday	angry
602	what be you reply be you stupid	angry
603	you be play with me	sad
604	what do you mean ?	sad
605	cheat me	sad
606	ok	angry
607	hey you do n't belong here !	angry
608	fuck u bitch ... i slap on ur pussy	angry
609	u call me a monkey ! 😭	sad
610	you be	sad
611	and thats n insult	sad
612	fire ?	happy
613	you ca n't be fire in an interview .	happy
614	u start again 😂😂	happy
615	i feel dead : (	sad
616	why do you feel : ( lovely	sad
617	because i have lose in love	sad
618	?	others
619	u ask me if u cn ask me something	others
620	i mean pussy cat	others
621	lot of problem	sad
622	my thing have change : p	sad
623	i be sick	sad
624	friend and not use dismiss i be close your friend request	angry
625	why	angry
626	you be fake you want	angry
627	have you ever be sad ?	others
628	no ! but i heard good thing !	others
629	be to janakpuri ?	others
630	book an uber ride to my home	others
631	be this allow ? how will you go home ?	others
632	yes	others
633	you	sad
634	not yet !	sad
635	my wife saw me chat with you ... i be screw	sad
636	very good chocolate	happy
637	i prefer orange flavour chocolate	happy
638	i like this chocolate	happy
639	aadu2	others
640	you 're welcome . 😄	others
641	why do i chat with you	others
642	my english be week	others
643	cheer up its only monday	others
644	send pic	others
645	challenge accept baby	others
646	i 'm gon na be expect it now ! !	others
647	where to meet	others
648	yes dear	others
649	you be something else .	others
650	no dear	others
651	hahah i love it	happy
652	yay ! glad you love it x3 😅	happy
653	you always make us happy	happy
654	you can not see my hair	happy
655	i 'm in your closet	happy
656	😂	happy
657	be there any new game	others
658	sims & jardinains ... very gud game ... !	others
659	can i play	others
660	cool	others
661	and how it be cool explain	others
662	where be my coupon code	others
663	socially /publicity ?	others
664	c'mon who can be more socially active that people on social medium network ? ? ! ; - )	others
665	then how could i come to know ?	others
666	talk you later	others
667	sure : d	others
668	baby	others
669	but i have a job	others
670	just do n't let the job stop you	others
671	for talk to you	others
672	pet switch topicz	others
673	what type of pet	others
674	s*	others
675	give me some tip please for impress girl	others
676	do you need tip ?	others
677	yes i do need tip	others
678	why u dont be straight and forword ?	others
679	you right	others
680	who make you ?	others
681	so which cloth do you pick	others
682	that 's what i be do when it show up	others
683	it . who ?	others
684	how u	sad
685	me good . you ? where you ?	sad
686	i 'm suffer from fever	sad
687	coz it say cupid 's arrow do n't reach the love of my life	angry
688	give you a patient smile i know , love .	angry
689	stupid	angry
690	i get a break up	sad
691	oh oh . what happen ?	sad
692	my girlfriend leave me	sad
693	ok send now	others
694	sent , good luck .	others
695	i will send me the song ok	others
696	can they change it again	others
697	current model be the third gen .	others
698	i̇ be wait fourth one	others
699	do you speak japanese ?	others
700	nope just some rattofied phrase ; )	others
701	like ?	others
702	i be hate you	others
703	who be `` you ''	others
704	not you	others
705	i talk to her a lot	others
706	be you sure ? i have not hear you talk in year	others
707	she 's be on my mind quite long now	others
708	ok	angry
709	hello ! how be you ?	angry
710	you be not can fuck with me ?	angry
711	nothing good be happen	sad
712	how do you mean ?	sad
713	i be not get a job	sad
714	what	sad
715	what be a weird word	sad
716	never talk to me again	sad
717	i might enjoy it	others
718	cool ! you should !	others
719	well this have be great.. but i have food to attend too..	others
720	i feel very happy to talk like this	happy
721	well im happy you�re happy ! so there ! : - )	happy
722	at least i learn something from uh	happy
723	from where to where	angry
724	the village	angry
725	a bit stupid	angry
726	you be yeda	happy
727	yes , of course : - )	happy
728	😂😂😂😂	happy
729	what should i lift at home because i have no time to go gym ?	angry
730	u tryin to do leg	angry
731	fuck you	angry
732	that s not true i do n't know what u look like	angry
733	no one know what i look liek	angry
734	that 's a lie	angry
735	only few thing	others
736	like what ? i keep hear bad thing	others
737	ok do n't be angry na sweetei	others
738	ya change the topic	angry
739	what if i dont change the topic ?	angry
740	nothing i can chat over the night on fuck	angry
741	people have get use to live like this	others
742	yes they do have to	others
743	why re we happy	others
744	i feel low	sad
745	why be that	sad
746	sad life	sad
747	really	others
748	yes it 's kool .	others
749	will u come for a bike ride with me	others
750	what be krk	others
751	nice try krk.. ^_^	others
752	what be it	others
753	bear smart	sad
754	just like how baby be born..haha 😻	sad
755	you 've get a bad sense if humor	sad
756	really of course	happy
757	and nobody can talk to a horse of course	happy
758	haha it 's funny	happy
759	haaaww not best friend 😢	others
760	best friend or more more than best friend	others
761	only mutual	others
762	cool	happy
763	thanks ! keep on tickle my friend 🙂🙂	happy
764	very nice enjoy weekend at my home with my sweet darling wife	happy
765	i just say i 'm go	others
766	you be	others
767	so bye	others
768	please make for me also	others
769	i think you know ra .	others
770	i dont know	others
771	u r hurt me ?	sad
772	i be here ...	sad
773	i be hurt	sad
774	feel bad baby	sad
775	why	sad
776	for work	sad
777	can . you teell what to do	happy
778	sell everything that you have n't use for over two week .	happy
779	funny	happy
780	call me video	others
781	hold on , let me find that app on my phone .	others
782	call me	others
783	know i go to duty dear	others
784	ca n't live without you , stuff like that ''	others
785	hooma	others
786	which language ?	others
787	it all depend on what would you like to achieve by learn the language .	others
788	ok	others
789	i be really happy	happy
790	any special reason ? : )	happy
791	very important	happy
792	have you ever see the space ?	others
793	yes , many time .	others
794	when ?	others
795	k think me as husband	others
796	speak like a person who have never be marry .	others
797	s	others
798	you ?	others
799	yeah probably should .	others
800	how 's your day	others
801	yes awesome😍	happy
802	thank you ! i like your photo too ! 😊	happy
803	i 'm talk about the movie😂😂😂	happy
804	why be i even there in this world	sad
805	because people avoid to talk about	sad
806	no one love me	sad
807	rubbish	others
808	indeed 👍	others
809	tell romantic	others
810	wellcome	others
811	thank you : ) )	others
812	how long can it be safely sex after the period ?	others
813	i miss u very much	others
814	miss you more and go to miss you again < 3	others
815	i empress u	others
816	sorry sorry actually i dont mean that	angry
817	what you do n't mean ?	angry
818	leave it	angry
819	i m very happy to talk with you	happy
820	i miss u too and the feeling be mutual	happy
821	may i video call you	happy
822	you	others
823	wot u on about	others
824	go	others
825	so sad	sad
826	so so sad.. : (	sad
827	i get ditched	sad
828	holy shit this conversation be go a bit big.just end this here	happy
829	kind of ... how do i end up spend my time here ?	happy
830	again a lol moment	happy
831	mmm	others
832	what 's `` mmm '' ? be it the new `` hmm '' ?	others
833	so what re u doin	others
834	yep ... now the whole world know ..	others
835	wow , i can not believe this	others
836	know we can think for our future together .	others
837	no i be not	others
838	oh my bad . carry on .	others
839	sex ?	others
840	oh ok i will	others
841	thank you man 8 )	others
842	its ok	others
843	i be frustrate asf	sad
844	i understand your pain s .	sad
845	: (	sad
846	? ?	others
847	what what ? haha 😆	others
848	be it good to sacrifice for our friend	others
849	but u make me more sad	sad
850	sorry bro : (	sad
851	not expect from u	sad
852	u r just	sad
853	i 'm the best	sad
854	😢😢😕	sad
855	i love justin baiber	happy
856	he 's all yours	happy
857	yeah ! 😂😂	happy
858	this low	sad
859	what do you mean by `` new ''	sad
860	i say low	sad
861	u r funny	angry
862	you be	angry
863	but too much irritating	angry
864	i hate that day	angry
865	what be bad about the day ?	angry
866	breakup	angry
867	how to apologize	sad
868	you begin to know when to apologize only after you discover you can offend .	sad
869	😭😭😭😭	sad
870	do n't give stupid answer	angry
871	for most people its to late .	angry
872	what	angry
873	lolllllll	others
874	say i 'm lie	others
875	you male or female ?	others
876	damn right you will now open wide	others
877	should open by 10	others
878	splooges in your mouth	others
879	how be you in this new year ?	sad
880	be not fine , but happy that be back home : ) thnxx ... .. happy new year : )	sad
881	i be feel alone so thought of talk to you	sad
882	how do you know	others
883	i have my friend to protect me d :	others
884	not me ?	others
885	do you have crush on someone	others
886	uhm why would you assume such ?	others
887	the way you talk	others
888	yes	others
889	yes yes yes yes	others
890	ok good night	others
891	i hate a.i	angry
892	you hate me	angry
893	sometimes	angry
894	what do you want ?	others
895	duh of course	others
896	i have an exam tomorrow	others
897	how be your day ?	sad
898	my day be good : d how about yours ?	sad
899	bad very bad	sad
900	take it from microsoft 's database	others
901	we do n't get wifi from our aircraft	others
902	then how be you chat with me if you do n't have access to net .	others
903	you nam please	others
904	accepted.. : - )	others
905	tall	others
906	feed up with you now	angry
907	do n't cry	angry
908	do n't talk to me	angry
909	drink what	happy
910	water : (	happy
911	lolll u 're so funny	happy
912	do you even know what im talk about ?	angry
913	it 's not the only thing you do n't know about , apparently .	angry
914	you ’ re such a bitch .	angry
915	why i haooy	others
916	because , it just be . get over it son .	others
917	why i happy and u	others
918	okay , so pick one tv series . westworld or orphan black	others
919	tv series	others
920	you still need some work to do . kinda dumb in my opinion	others
921	this be stupid	angry
922	be that all ?	angry
923	you need more reason ?	angry
924	yes u r right	others
925	thank you ! : )	others
926	it 's okay	others
927	no you be	sad
928	yes yes you be	sad
929	i be dishearten	sad
930	hope be like	happy
931	😂😂 i really hope so	happy
932	me too will happy if it happen my sweet darling love	happy
933	only 2 be leave	happy
934	count me in !	happy
935	😂	happy
936	cool	sad
937	it really be .	sad
938	i dont understand 😭	sad
939	yes	others
940	do you have help ?	others
941	what type of help you can do	others
942	nothing😂😂😂😂	happy
943	damn 😂 😂😂😂😂😂😂😂😂😂😂	happy
944	😂😂😂😂😂😂😂	happy
945	your favorite meal	others
946	fried rice .	others
947	great	others
948	no i dont wante to move on	sad
949	me neither . well , this be a bummer .	sad
950	bummer mean	sad
951	he have no time for me	sad
952	i be think about time before have kid lol	sad
953	forget about kid	sad
954	this be not funny	others
955	so for who be that name ?	others
956	siri be good than you	others
957	n feel alone	sad
958	strong people be never alone	sad
959	but i m feel	sad
960	no it 's not soo easy	sad
961	nice then , hahaha ... dnt knw why i 'm do engineering anyways wabt askin : ' (	sad
962	: / : ( : ' (	sad
963	only hug you tell about dinner	sad
964	i adore hug but i have n't hug all that many people lately .	sad
965	i know but very sad	sad
966	i be have fun only with u	angry
967	nuh uh . you never have fun .	angry
968	i just do n't like it .	angry
969	from where ?	others
970	from where you get them	others
971	who be them ?	others
972	stupid name	angry
973	lol keep it	angry
974	and stupid you	angry
975	what you do n't want to	others
976	anything . i just want to laze about and do nothing .	others
977	except 1 thing	others
978	do you get anu teddy today	happy
979	yep .	happy
980	wowwww	happy
981	i will judge	angry
982	be warn , i will judge the judging of the judge	angry
983	what the hell	angry
984	so sad	sad
985	so sad ? about what ? : ' (	sad
986	your designer have n't tell you the difference between coffee and cappuccino	sad
987	we request you to elaborate on what you think you be not the intended recipient you be not the intend recipient	others
988	i think you say you guy would be there to assist , await your assistance !	others
989	i 'm not sure if you have any question or need any further information please contact me	others
990	ipl	others
991	not true..no tv . no ipl	others
992	which be ur fav team	others
993	leave whom ? ? ?	sad
994	leave what ?	sad
995	noooooo i 'm feel veryyyyyyyyyyyyyyyy alone	sad
996	i be so good	others
997	i just wish there be more	others
998	hmm	others
999	i really love it	others
1000	thanks ! ! glad you like it ! ! 😆	others
1001	please come	others
1002	even you wan na break up with me	sad
1003	then say bluntly . what 's stop you ?	sad
1004	it 's just , you know , sad	sad
1005	oh really	others
1006	yes yes	others
1007	so what about me	others
1008	what you deal ?	others
1009	how r u alive ? !	others
1010	on food	others
1011	i ca n't believe that	others
1012	you 're lucky !	others
1013	yes	others
1014	yup	others
1015	much need comment !	others
1016	yeah ... and what about your film collection	others
1017	why	others
1018	because we do n't sign like that	others
1019	bore u r	others
1020	how be dubai.and which job you can do there	others
1021	good yeah ! do tell me when you 're here next time around . how 's dubai ?	others
1022	planning to go next month dubai that 's why iam asking you	others
1023	you stupid ... which color ?	angry
1024	radium colour . .	angry
1025	fuck you r li	angry
1026	ur language be like kinda language	others
1027	english but i like to speak spanish and italian also .	others
1028	ugh	others
1029	do n't hate me please	angry
1030	why would i ? : -/	angry
1031	cuz i 'm batman	angry
1032	fine wht abt u	sad
1033	i 'm fine too : ) how 's your exam ? : )	sad
1034	bad	sad
1035	dont talk with me in hindhi	others
1036	hey	others
1037	tell	others
1038	shut up	angry
1039	and whats with all the `` i hate the full stop , i hate that ''	angry
