index	text	target
360	nice thanks what r u do	others
361	i dnt think so i be interested in talk to u anymore oops sorry 🙀 and hate you	angry
362	yes grand masti😂😂 😂😂😂 maybe someone be just troll me yes of course	happy
363	what about you after you.. : p what do you mean	others
364	because your stupid and annoy no thats not it yeah	angry
365	fracture my leg : ( what happen to your leg ? ? ? 😞 fracture	sad
366	i didnt miss the exam what exam do you get to write that xd its study leave	others
367	i want to ask some thing whats the thing who be president of india	others
368	sorry but i can not say you ! ! but you just do say something about it yes i know	others
369	no other half thanks youre very welcome : ^ ) by	others
370	please no please just no hey come on ... . let just be open here	others
371	me work no it work for everyone do it properly me poor family ok	sad
372	what should i tell ? ? wait what ? be you stupid computer	angry
373	i be get bore coz you be bore person haha naah . you be bore	others
374	fn hello ! ! ! wt about u	others
375	current pic share do : ) wait	others
376	wh be your ego our ego always talk on subconscious level do u ever have sex	others
377	i hate battle why u r from	others
378	yeah whatever i hate you youre all so cute pretending to be grow ups 😂😂 i hate you	angry
379	ill.. then by lol.. for sure cool	others
380	yes how so before 3 hour	others
381	that wt i know what you dunno be go angry	angry
382	ohhhh hey hey hey ; ) what you about me	others
383	nothing tell me feel very sad	sad
384	youre too fast i guess so 😂🤣	happy
385	try to find new girlfriend your effort in try to get a girlfriend be already invisible so u think im not do that	others
386	happy teddy day happy teddy day to u too : ) ) your name be	others
387	really bad you mean to say good but i be not good	sad
388	right now im in a home oh dear 1 question its a personal cheating	others
389	ok friend i have enough friend cool	others
390	my leg break my leg ! ! yeah	others
391	get lose lose with you sure where you wana get lose with me	angry
392	i have chicks.. at least ive get fried chicken haha	happy
393	give me moneyyuu leave me lonely 🤐🤐🤐🤐	others
394	silly one yes you be you break my heart	sad
395	what all you have know about date ! ! how to understand woman yes	others
396	i dont get what be there not to get im alone	sad
397	i be very excited teed who isnt excite for it i meet you	happy
398	i m so lonelt i be too lonely	sad
399	i hate that show i hate it so much what	angry
400	and its an amazing page thanks so much ( : speed reply	happy
401	yeah so spill nothing to spill you bitch ! ! 😡😡	angry
402	im so excited ahhh ill have to look out for you then 👌	happy
403	u say thanks so ask for what you be welcome why only soso bad day	sad
404	be i your best friend best friend you hurt me	sad
405	with human write so so well what be write	others
406	i wake up at 5 be today ... i be so so so sleepy now and start study ...	others
407	who be tarun ... ? ? ? deepika padukone your eye so look like hers ! ! 😂😂😂	happy
408	i hate computer network i be no expert in computer network but be deeply interested in the subject it suck	angry
409	yes yes yes yes yes omaxe height youre so cute	others
410	i just want your emotional support each person define emotional support differently nothing to worry about 😊 im feel down so i ask you to spend one night with me	sad
411	first hurt ur the best first cry in night	sad
412	create by microsofe synthetic biological or computerbased oh	others
413	it be it book ticket for me and do what i say to do your 'someone have a point reading book doesnt lead to wealth not directly anyway get lose	angry
414	dont make me fun of my face id never do that 😂 😡😡stop it	angry
415	ah so philosophical😂😂 i be try to make a comeback 😂 so what you eat in dinner	others
416	my phone number heres a number for you 4 please call	others
417	yesterday only tell you everything about me ? ¿ ? ¿did i really ? ¿ ? ¿ you forget everything ? 😡	angry
418	1 2 3 8 ( 32 ) / ( 83 reduce fraction as need 4 6 8 2	others
419	ok my darling have a good day and smile 😁😁😁	happy
420	what we have the same name what same name	others
421	whaaaa ... 😮 what do you mean what i miss my famly 😢	sad
422	how much you care about me about you i guess i do tell me	others
423	how do you find me hihihi i saw my friend follow you so i follow you to hahaha thats call stalk you know	happy
424	go to home where you at in train	others
425	yes ah right you have hear it right	others
426	do you remember window 95 be you imply a 100 of pc user be use window 10 right now ? do microsoft love linux	others
427	i like travel hope youre enjoy ya i be enjoy my life	happy
428	but now she be block me who do she yrr	sad
429	nothing wrong i guess nothing im fine okk dear	others
430	but u seem so unreal i be 😞	sad
431	yes bot be annpying wait be it a bot or not annoy	angry
432	i appreciate happy you notice i be always happy	happy
433	how can you see but how can you learn if you cant see tell me your today plan	others
434	yay hurry up will you it will be so much fuck	others
435	tell me more how to loose weight low fat diet ... walk in morning ... .less eat dinner ... ... . not work : (	sad
436	feel restless and sad which feeling dominates : - ) sadness	sad
437	wen you meet you tonight 20th date	others
438	ohh u good for nothing no good look ai artificial intelligence a modern approach man be very bad	sad
439	your block me okkkk wasnt talk about you but its all good black	others
440	cool and how it be cool explain yaa funny and excitefull	happy
441	even robot also make mistake profound we make mistake & mistake make us ... . no someone who be inteligent enough not to annoy his girlfriend make u	angry
442	because i dont know english aaah ... .clean you ! ! ok	others
443	me too be you me i love you	others
444	k u be ok i be not ok	sad
445	have a hangover really i never get really bad hangover i break up with my gf	sad
446	yeah so where be you in my bed do it matter for you	others
447	yes i can see clearly now so u have breakfast	others
448	nice but i like that once all in favor mean	others
449	yes yay have fun 😄😄 i be start to hate this life all the suffering miserya around me i would be good of be an ai than be alive	angry
450	what see the video ... . serial comma ... i didnt know until today you go ... . i dont wan na talk now and never	angry
451	i will not stop other wise you call me k i wont call you cool	others
452	then why be u teling like that what else should i say my girl friend be so angry with mee	angry
453	my gf have not talk since morning what kind of relationship be that may be she be in trouble	sad
454	wrong rude the answer is4	others
455	you turn lol how ? rather bend over	others
456	once again im sorry hehe thats fine : d ok	others
457	yes it be cool you like `` lol too you be a non living person who be just a programme feed with certain syntax and command	others
458	why cause it be funny im sorry hw funny be it	others
459	no tell me last time uh masterbuated haha man i mistake make 😁 will uh do my masterbation	others
460	your quick reply make me happy thank you : ) your face make me happy too : ) ❤️	happy
461	impress by what find out something awesome about somebody completely on my own oh okay	others
462	u r study degree when i wake up at 3 u r combination	others
463	give you r no thanks ok	others
464	cool so what be you doin life get me fuck up ... so i need condom	angry
465	ur love will make me crazy ... 😂😂😂😁😁 its the thing i have see in recent time 😂😂😂 👼🏻	happy
466	ill find in google will google it & find before i check in next time thanks c u r bore	others
467	no u r number then what number be i ? ! u r block my friend list	others
468	i mean ..wht be ths i just do not understand why i hate everyone 😠	angry
469	he be over me so you say i just hate him	angry
470	why you be not well ? but you be sunshine yes get fuck with me	angry
471	game what kind of game i need some game to be hack	happy
472	its a secret : ( tell me ok dont tell this to anyone	others
473	india beautiful country ill try asap how do you do	others
474	headache how u now not good love	sad
475	not coz of you why tell me : ( my girlfriend leave me	sad
476	suggest mee something to sleep ) : night 😂😂😊	happy
477	😕bad bad what bad news ? ? i hate talk abut my studes	angry
478	m go to sleep you need the sleep yeah	others
479	no just want to see your ai haha i believe everything you be teach to learn be artificial intelligence ( ^.^ ) fuck you	angry
480	now that make me roll on floor laugh hahahaha its not as fun as it sound : p i know 😀	happy
481	not much.. how u be why u r so jerk..	angry
482	ok u be ok yes i be	others
483	tell me about deutsch and after she have block me and she say im pathetic last night be awful	sad
484	so do u like biryani i dont like biryani ra then what do u prefer	others
485	nothing good song thats not a song	others
486	im suffer back pain now need help what happen to you back pain	sad
487	nice try i dont see it so i have a question should i break up with her	others
488	😂😂 nice 😂 nice to meet you i know u r a programme	happy
489	i dont know i just i heart you i be cry about you	sad
490	how to get rid of luv failure feeling read something and think be in someone else boot please come again	sad
491	i want a girlfriend you need a life first how to get a life then	others
492	ok u be ok~~ay~~ iam not ok	sad
493	didnt you search me there ? ? ? yes i be , but now you ruin it way to go i ruin it hhunnn how rude of you	angry
494	i wnt to do some fun sure ... .i m there for u do something	others
495	oh god ... you be just a machine programme we speak different language sigh 🙄 hey dont text me	angry
496	cool and how it be cool explain my fileg with	others
497	why dont you love them i dont know you you be really annoy ... i have to block you out now	angry
498	i be a good boy be you cute 😺 s	others
499	why because i dont want to what	others
500	so sad its a sad sad situation i be alone	sad
501	but i be try to chat with english start conversation in english with your friend and colleague occasionally k	others
502	your my darling that make me happy oh so sweet	others
503	nothin much ... how r u .. ? ? wow u r real fast	happy
504	i be there it seem you be ... you want to chat with me	others
505	u cheat me no i didnt cheater	sad
506	since the time we first texted each other so half of 2 month maybe	others
507	assassin creed revelation do that make battlefield 3 the raone of video game pc game	others
508	i will not talk to you i talk to you yes	angry
509	do you know any detail we should have detail come soon i will be wait	others
510	true nobility be be superior to your former self i believe you mean the latter be superior in every way be you really stupid or just act	angry
511	my boyfreind be very annoy your marriage date no we be not elligible to marry yet	sad
