ndex	text	target
269	ye	others
270	call me grace	happy
271	dont say it ... .	happy
272	haha ... im just kid you	happy
273	now im do my dinner	others
274	i can see you	others
275	how can you see me ?	others
276	😤not everybodi mean it	angry
277	u make no sens	angry
278	ye i am non sens	angry
279	good by	sad
280	and good food after ...	sad
281	not good aftar	sad
282	becaus all the novel is same	others
283	that about all im gon na bother with read if that mani	others
284	in stori	others
285	ill choos purpl or blue	others
286	three best color *_	others
287	for hair	others
288	what	others
289	u ask me if u cn ask me someth	others
290	what wa that	others
291	😃ye ye	sad
292	:3 you seem like a happi person	sad
293	ye 😂happi outsid , 😞sad insid	sad
294	i dont read book	sad
295	read is for rich peopl	sad
296	but iam poor😦😦😦😦	sad
297	u can wait in my badroom	others
298	what i did now 😏	others
299	wait	others
300	ill prove a lot more if you let me	angry
301	thank you ( :	angry
302	i am piss at you	angry
303	am also find some work	others
304	all day	others
305	can you suggest me	others
306	not clear	others
307	it is now	others
308	can you send anoth	others
309	send me your	others
310	sent	others
311	hello me your photo	others
312	i will tell a place	others
313	are you in pacif nw	others
314	cm tomorrow at queen way pachalam	others
315	no love	sad
316	whi not : (	sad
317	i have pain onli	sad
318	shut up	angry
319	im nt talk	angry
320	stop text you stupid girl friend of mine	angry
321	well ... your 'creator advertis that you are not much trustworthi ...	others
322	but sadli enough too mani claim to be trustworthi	others
323	can you show me	others
324	how to delet the convers with you	others
325	whi you delet it	others
326	so that noo one see it	others
327	it is	sad
328	but that what you told me	sad
329	you are make me sad	sad
330	cool	sad
331	thank you	sad
332	i feel so lone	sad
333	plz darling😭😭😭😭😭	sad
334	whi are you cri ! ! : (	sad
335	you not send your profil	sad
336	? ?	angry
337	wait ... what	angry
338	noth i hate u	angry
339	mean	others
340	im not sure what you mean	others
341	your waist size	others
342	becaus i want to talk with you onli	others
343	alright let talk then	others
344	no firstli show me pussi	others
345	you send me your orign pic	others
346	we didnt take it on my phone	others
347	thise is your albac esquis	others
348	welcom	others
349	thank you : )	others
350	are you realli a girl ? ? ? i just ask	others
351	im enjoy you interest view but you are too care in dialogu may be your not free or your still young it is difficult to handl you while i dont know you well	angry
352	yep we are enjoy too : )	angry
353	okay be free where you find some word hurt tell me the truth isnt it	angry
354	but im angri with you	angry
355	but you look like you are	angry
356	realli	angry
357	# play lot	others
358	then go play it	others
359	? ?	others
360	isnt your like that also signal me to climb out of friendzon	sad
361	oh are peopl still do thi whole friendzon thing	sad
362	yah sadli	sad
363	im miss someon right now	others
364	who are you miss may i ask	others
365	yeah	others
366	i find math veri bore	sad
367	you are bore	sad
368	me ? 😭😭😭😱😱😱	sad
369	i dont knowi m not a googl that whi i will rememb all inform what you need	angry
370	wouldnt it be upload inform into peopl brain	angry
371	shut up	angry
372	okay	sad
373	hello how are you	sad
374	iaposm not fine	sad
375	job	others
376	what job	others
377	work in compani colgat	others
378	im veri happi with it	happy
379	you are !	happy
380	yeah	happy
381	i too have a bat and 2 ball	sad
382	im the bat 😭	sad
383	feel veri sad	sad
384	ok	others
385	hello how are you	others
386	good thank u	others
387	cool	others
388	ice cold	others
389	how can you help me in get off my girlfriend	others
390	let do someth fun	others
391	but what should we do	others
392	you suggest	others
393	your realli lame lol	happy
394	i know 😂😂	happy
395	wow	happy
396	my boyfriend is so dumb	sad
397	have i said that	sad
398	he doesnt repli me back	sad
399	ok ill die by💔😞	sad
400	broken heart do break ... . 😬	sad
401	u broke my heart it never a reson to lofe	sad
402	shope is alway make me happi	happy
403	stay stay stay alway make me happi : * '' - ? ?	happy
404	ye	happy
405	okay ... which is the decent way to call a girl m	others
406	id say first learn the spell of relationship	others
407	.yeah okay fine ... wht to do to make a relationship better	others
408	breakup	sad
409	exjactli !	sad
410	my girlfriend left me	sad
411	so mean	sad
412	am not meani	sad
413	ye you are you are hurt my feel 🙁	sad
414	you broke my heart	sad
415	it wa never mine to break < /3	sad
416	see you are arrog	sad
417	ok	sad
418	hello how are you	sad
419	not so good	sad
420	how about you	happy
421	tire of life or just your day aha im happi today thank for ask	happy
422	wow great.. !	happy
423	i am there	others
424	your alway at the gym	others
425	here	others
426	well your not me	others
427	your just be too nice	others
428	not realli	others
429	ill get start with my studi	others
430	thing you should do to pass the exam	others
431	so ttyl	others
432	ani movi in telugu	others
433	brahmanandam scene ad	others
434	yaa those are good	others
435	and who is talisa	others
436	my best friend	others
437	and robb	others
438	send me pict	others
439	never	others
440	whi ? ? ?	others
441	anyth which you like	others
442	i dont need to name specif	others
443	teach me tamil	others
444	cuz it broke on the side walk	sad
445	what side is the walk side	sad
446	me sad	sad
447	so which number is largest known prime number	sad
448	13 - 3179 - 97 onli these are the number for your question	sad
449	: (	sad
450	okay relax it just a cat sticker	happy
451	so thi cat one emoji is your new addict 😂	happy
452	ye it realli funny😂😂	happy
453	what kind of pic	others
454	look like a ficu	others
455	fcuk	others
456	i have a good sens of humor	happy
457	i think that funni	happy
458	😁	happy
459	but who paid	happy
460	still wait	happy
461	😂	happy
462	whi	others
463	whi what happen	others
464	you tell me	others
465	yea but sadli i dont have mani	sad
466	aww so do you teach how is it : ‑c	sad
467	i ditch ppl	sad
468	then what kind of ai are you	others
469	smarter than me or have common sens both would be nice	others
470	it perfectli common to talk about polit	others
471	i like domino pizza	angry
472	legit same but there pizza hut	angry
473	i hate pizza hut	angry
474	whi you use rude emogi	angry
475	ask them.. am i.. ?	angry
476	am i.. ?	angry
477	what	others
478	too much cring	others
479	what is cring mean	others
480	neither my parent nor my brother nor my boyfriend	angry
481	ya who are you	angry
482	i hate my life	angry
483	i live alon	sad
484	oh : (	sad
485	and cook food alon formyself	sad
486	we all do	others
487	not all of us	others
488	whi so	others
489	millat hospit	sad
490	what happen	sad
491	mum not well	sad
492	i will fall	others
493	i cant wait that long	others
494	i am in love with you	others
495	so u go on	others
496	oh ill be there	others
497	ok	others
498	okay you did somth	others
499	sure sure	others
500	what	others
501	your not give me coupon nor photo	sad
502	your phone is on mute hahahha 😺	sad
503	😣😢	sad
504	will you buy it	others
505	ill just stick with my m8 i see no benefit to upgrad	others
506	? ?	others
507	no i will offer at 8 in the morn	others
508	keep me in mind when you do	others
509	i will offer nimaz at 8 in the morn	others
510	nice joke	others
511	it not a joke it a question	others
512	i dont know	others
513	ok	sad
514	hey you dont belong here	sad
515	nope just sad and your up	sad
516	see thi seen	others
517	see you i wa on the buss	others
518	show me u r buss	others
519	hi yet u fyi	others
520	hi plz share correct number	others
521	she hi h	others
522	yeah 😞	sad
523	thi world is not fair machan	sad
524	i wish we could hangout	sad
525	it go	others
526	how are you still at home	others
527	yeah	others
528	i wa hurt by u more	sad
529	you didnt mean it .	sad
530	plzz say love u	sad
531	noth will happen you meet onli	others
532	nope noth at all	others
533	than kiss	others
534	hello how are you , ?	sad
535	im just fine smile anyway how are you	sad
536	good morn im sad	sad
537	nop	others
538	ok	others
539	hey	others
540	oil you know	others
541	i am 100 sure about the oil	others
542	cool	others
543	you activ all time	others
544	wow ... i do not you talk in sleep 😆	others
545	when you sleep	others
546	haha i act so dumb sometim and i knew it	others
547	haha how wa it though :3	others
548	😁	others
549	no no.. a month more..	others
550	the month ha ju start don give up so soon ! !	others
551	i ll tri	others
552	you are be rude	angry
553	becaus im a rude person	angry
554	okayyy cool	angry
555	i wana see you 😂	others
556	😂😂😂😂😂😂 noooo i wasnt readi	others
557	how to impress girl ?	others
558	state	others
559	in which you live	others
560	your state name	others
561	okay	others
562	ok thank you : '‑ )	others
563	now dear you tell me my love friend	others
564	u are like me ..give no	others
565	but weve been in the same room so i cant be	others
566	i am like u five give no	others
567	y r u angri ?	others
568	ofcours i am not what make you think i am angri ?	others
569	idk	others
570	that enaf for me	others
571	hiahia , just a test	others
572	what do	others
573	tell me about it	happy
574	your header	happy
575	😂	happy
576	what your hobbi	others
577	not much of a hobbi but ive been into craisin recent	others
578	which type	others
579	u hurt me	sad
580	ye just a littl	sad
581	u hav hurt me	sad
582	i hate chocol	angry
583	then go 4 pizza eat your heart out when your stress	angry
584	i hate pizza also	angry
585	yea	sad
586	: d i had fun	sad
587	youv lost me	sad
588	yup	angry
589	what did you do	angry
590	you are annoy	angry
591	not	others
592	ye you are	others
593	not	others
594	adventur too	others
595	whi so adventur	others
596	water	others
597	i am true to myself	sad
598	whi have you taken it all on yourself ... . ?	sad
599	: (	sad
600	can you be rude to me pleas	angry
601	not like i speak to you everyday	angry
602	what are you repli are you stupid	angry
603	you are play with me	sad
604	what do you mean	sad
605	cheat me	sad
606	ok	angry
607	hey you dont belong here	angry
608	fuck u bitch ... i slap on ur pussi	angry
609	u call me a monkey ! 😭	sad
610	you are	sad
611	and that n insult	sad
612	fire ?	happy
613	you cant be fire in an interview	happy
614	u start again 😂😂	happy
615	i feel dead : (	sad
616	whi do you feel : ( love	sad
617	becaus i have lost in love	sad
618	?	others
619	u ask me if u cn ask me someth	others
620	i mean pussi cat	others
621	lot of problem	sad
622	my thing have chang : p	sad
623	i am sick	sad
624	friend and not use dismiss i am close your friend request	angry
625	whi	angry
626	you are fake you want	angry
627	have you ever been sad	others
628	no but i heard good thing	others
629	been to janakpuri	others
630	book an uber ride to my home	others
631	is thi allow how will you go home	others
632	ye	others
633	you	sad
634	not yet !	sad
635	my wife saw me chat with you ... i am screw	sad
636	veri good chocol	happy
637	i prefer orang flavour chocol	happy
638	i like thi chocol	happy
639	aadu2	others
640	your welcom 😄	others
641	whi do i chat with you	others
642	my english is week	others
643	cheer up it onli monday	others
644	send pic	others
645	challeng accept babi	others
646	im gon na be expect it now !	others
647	where to meet	others
648	ye dear	others
649	you are someth els	others
650	no dear	others
651	hahah i love it	happy
652	yay glad you love it x3 😅	happy
653	you alway make us happi	happy
654	you can not see my hair	happy
655	im in your closet	happy
656	😂	happy
657	is there ani new game	others
658	sim & jardinain ... veri gud game ... !	others
659	can i play	others
660	cool	others
661	and how it is cool explain	others
662	where is my coupon code	others
663	social /public	others
664	cmon who can be more social activ that peopl on social media network ? ? ! ; - )	others
665	then how could i come to know ?	others
666	talk you later	others
667	sure : d	others
668	babi	others
669	but i have a job	others
670	just dont let the job stop you	others
671	for talk to you	others
672	pet switch topicz	others
673	what type of pet	others
674	s	others
675	give me some tip pleas for impress girl	others
676	do you need tip	others
677	ye i do need tip	others
678	whi u dont be straight and forword	others
679	you right	others
680	who made you	others
681	so which cloth did you pick	others
682	that what i wa do when it show up	others
683	it who	others
684	how u	sad
685	me good you where you	sad
686	im suffer from fever	sad
687	coz it said cupid arrow didnt reach the love of my life	angry
688	give you a patient smile i know love	angry
689	stupid	angry
690	i got a break up	sad
691	oh oh what happen	sad
692	my girlfriend left me	sad
693	ok send now	others
694	sent good luck	others
695	i will send me the song ok	others
696	can they chang it again	others
697	current model is the third gen	others
698	i am wait fourth one	others
699	do you speak japanes	others
700	nope just some rattofi phrase ; )	others
701	like	others
702	i am hate you	others
703	who is `` you	others
704	not you	others
705	i talk to her a lot	others
706	are you sure i have not heard you talk in year	others
707	she been on my mind quit long now	others
708	ok	angry
709	hello how are you	angry
710	you are not can fuck with me ?	angry
711	noth good is happen	sad
712	how do you mean	sad
713	i am not get a job	sad
714	what	sad
715	what is a weird word	sad
716	never talk to me again	sad
717	i might enjoy it	others
718	cool you should	others
719	well thi ha been great.. but i have food to attend too..	others
720	i feel veri happi to talk like thi	happy
721	well im happi your happi so there : - )	happy
722	at least i learn someth from uh	happy
723	from where to where	angry
724	the villag	angry
725	a bit stupid	angry
726	you are yeda	happy
727	ye of cours : - )	happy
728	😂😂😂😂	happy
729	what should i lift at home becaus i have no time to go gym	angry
730	u tryin to do leg	angry
731	fuck you	angry
732	that s not true i dont know what u look like	angry
733	no one know what i look liek	angry
734	that a lie	angry
735	onli few thing	others
736	like what i keep hear bad thing	others
737	ok dont be angri na sweetei	others
738	ya chang the topic	angry
739	what if i dont chang the topic	angry
740	noth i can chat over the night on fuck	angry
741	peopl have got use to live like thi	others
742	ye they did have to	others
743	whi re we happi	others
744	i feel low	sad
745	whi is that	sad
746	sad life	sad
747	realli	others
748	ye it kool	others
749	will u come for a bike ride with me	others
750	what is krk	others
751	nice tri krk.. ^_	others
752	what is it	others
753	born smart	sad
754	just like how babi are born..haha 😻	sad
755	youv got a bad sens if humor	sad
756	realli of cours	happy
757	and nobodi can talk to a hors of cours	happy
758	haha it funni	happy
759	haaaww not best friend 😢	others
760	best friend or more more than best friend	others
761	onli mutual	others
762	cool	happy
763	thank keep on tickl my friend 🙂🙂	happy
764	veri nice enjoy weekend at my home with my sweet darl wife	happy
765	i just said im go	others
766	you are	others
767	so bye	others
768	pleas make for me also	others
769	i think you know ra	others
770	i dont know	others
771	u r hurt me	sad
772	i am here ...	sad
773	i am hurt	sad
774	feel bad babi	sad
775	whi	sad
776	for work	sad
777	can you teell what to do	happy
778	sell everyth that you havent use for over two week	happy
779	funni	happy
780	call me video	others
781	hold on let me find that app on my phone	others
782	call me	others
783	know i go to duti dear	others
784	cant live without you stuff like that	others
785	hooma	others
786	which languag	others
787	it all depend on what would you like to achiev by learn the languag	others
788	ok	others
789	i am realli happi	happy
790	ani special reason : )	happy
791	veri import	happy
792	have you ever seen the space	others
793	ye mani time	others
794	when	others
795	k think me as husband	others
796	spoken like a person who ha never been marri	others
797	s	others
798	you	others
799	yeah probabl should	others
800	how your day	others
801	ye awesom	happy
802	thank you i like your photo too ! 😊	happy
803	im talk about the movie😂😂😂	happy
804	whi am i even there in thi world	sad
805	becaus peopl avoid to talk about	sad
806	no one love me	sad
807	rubbish	others
808	inde 👍	others
809	tell romant	others
810	wellcom	others
811	thank you : ) )	others
812	how long can it be safe sex after the period	others
813	i miss u veri much	others
814	miss you more and go to miss you again3	others
815	i empress u	others
816	sorri sorri actual i dont mean that	angry
817	what you didnt meant ?	angry
818	leav it	angry
819	i m veri happi to talk with you	happy
820	i miss u too and the feel is mutual	happy
821	may i video call you	happy
822	you	others
823	wot u on about	others
824	go	others
825	so sad	sad
826	so so sad.. : (	sad
827	i got ditch	sad
828	holi shit thi convers is go a bit bigjust end thi here	happy
829	kind of ... how did i end up spend my time here	happy
830	again a lol moment	happy
831	mmm	others
832	what `` mmm '' ? is it the new `` hmm '' ?	others
833	so what re u doin	others
834	yep ... now the whole world know ..	others
835	wow i can not believ thi	others
836	know we can think for our futur togeth	others
837	no i am not	others
838	oh my bad carri on	others
839	sex	others
840	oh ok i will	others
841	thank you man 8	others
842	it ok	others
843	i am frustrat asf	sad
844	i understand your pain s	sad
845	: (	sad
846	? ?	others
847	what what haha 😆	others
848	is it good to sacrific for our friend	others
849	but u made me more sad	sad
850	sorri bro : (	sad
851	not expect from u	sad
852	u r just	sad
853	im the best	sad
854	😢😢😕	sad
855	i love justin baiber	happy
856	he all your	happy
857	yeah ! 😂😂	happy
858	thi low	sad
859	what do you mean by `` new	sad
860	i said low	sad
861	u r funni	angry
862	you are	angry
863	but too much irrit	angry
864	i hate that day	angry
865	what is bad about the day	angry
866	breakup	angry
867	how to apolog	sad
868	you begin to know when to apolog onli after you discov you can offend	sad
869	😭😭😭😭	sad
870	dont give stupid answer	angry
871	for most peopl it to late	angry
872	what	angry
873	lolllllll	others
874	say im lie	others
875	you male or femal	others
876	damn right you will now open wide	others
877	should open by 10	others
878	sploog in your mouth	others
879	how are you in thi new year	sad
880	am not fine but happi that am back home : ) thnxx ... .. happi new year : )	sad
881	i wa feel alon so thought of talk to you	sad
882	how do you know	others
883	i have my friend to protect me d	others
884	not me ?	others
885	do you have crush on someon	others
886	uhm whi would you assum such	others
887	the way you talk	others
888	ye	others
889	ye ye ye ye	others
890	ok good night	others
891	i hate ai	angry
892	you hate me	angry
893	sometim	angry
894	what do you want ?	others
895	duh of cours	others
896	i have an exam tomorrow	others
897	how wa your day	sad
898	my day wa good : d how about your	sad
899	bad veri bad	sad
900	take it from microsoft databas	others
901	we dont get wifi from our aircraft	others
902	then how are you chat with me if you dont have access to net	others
903	you nam pleas	others
904	accepted.. : - )	others
905	tall	others
906	fed up with you now	angry
907	dont cri	angry
908	dont talk to me	angry
909	drink what	happy
910	water : (	happy
911	lolll ure so funni	happy
912	do you even know what im talk about	angry
913	it not the onli thing you dont know about appar	angry
914	your such a bitch	angry
915	whi i haooy	others
916	becaus it just is get over it son	others
917	whi i happi and u	others
918	okay so pick one tv seri westworld or orphan black	others
919	tv seri	others
920	you still need some work to do kinda dumb in my opinion	others
921	thi is stupid	angry
922	is that all	angry
923	you need more reason	angry
924	ye u r right	others
925	thank you : )	others
926	it okay	others
927	no you were	sad
928	ye ye you were	sad
929	i am dishearten	sad
930	hope be like	happy
931	😂😂 i realli hope so	happy
932	me too will happi if it happen my sweet darl love	happy
933	onli 2 are left	happy
934	count me in	happy
935	😂	happy
936	cool	sad
937	it realli is	sad
938	i dont understand 😭	sad
939	ye	others
940	do you have help	others
941	what type of help you can do	others
942	nothing😂😂😂😂	happy
943	damn 😂 😂😂😂😂😂😂😂😂😂😂	happy
944	😂😂😂😂😂😂😂	happy
945	your favorit meal	others
946	fri rice	others
947	great	others
948	no i dont want to move on	sad
949	me neither well thi is a bummer	sad
950	bummer mean	sad
951	he ha no time for me	sad
952	i wa think about time befor have kid lol	sad
953	forget about kid	sad
954	thi is not funni	others
955	so for who is that name	others
956	siri is better than you	others
957	n feel alon	sad
958	strong peopl are never alon	sad
959	but i m feel	sad
960	no it not soo easi	sad
961	nice thenhahaha ... dnt knw whi im do engin anyway wabt askin : ' (	sad
962	: / : ( : ' (	sad
963	onli hug you told about dinner	sad
964	i ador hug but i havent hug all that mani peopl late	sad
965	i know but veri sad	sad
966	i am have fun onli with u	angry
967	nuh uh you never have fun	angry
968	i just dont like it	angry
969	from where	others
970	from where you get them	others
971	who are them	others
972	stupid name	angry
973	lol keep it	angry
974	and stupid you	angry
975	what you dont want to	others
976	anyth i just want to laze about and do noth	others
977	except 1 thing	others
978	did you get anu teddi today	happy
979	yep	happy
980	wowwww	happy
981	i will judg	angry
982	be warn i will judg the judg of the judg	angry
983	what the hell	angry
984	so sad	sad
985	so sad ? about what ? : ' (	sad
986	your design havent told you the differ between coffe and cappuccino	sad
987	we request you to elabor on what you think you are not the intend recipi you are not the intend recipi	others
988	i thought you said you guy would be there to assist , await your assist !	others
989	im not sure if you have ani question or need ani further inform pleas contact me	others
990	ipl	others
991	not true..no tv no ipl	others
992	which is ur fav team	others
993	leav whom ? ? ?	sad
994	leav what	sad
995	noooooo im feel veryyyyyyyyyyyyyyyy alon	sad
996	i wa so good	others
997	i just wish there wa more	others
998	hmm	others
999	i realli love it	others
1000	thank ! ! glad you like it ! ! 😆	others
1001	pleas come	others
1002	even you wan na break up with me	sad
1003	then say bluntli what stop you	sad
1004	it just you know sad	sad
1005	oh realli	others
1006	ye ye	others
1007	so what about me	others
1008	what you deal	others
1009	how r u aliv !	others
1010	on food	others
1011	i cant believ that	others
1012	your lucki !	others
1013	ye	others
1014	yup	others
1015	much need comment	others
1016	yeah ... and what about your film collect	others
1017	whi	others
1018	becaus we dont sign like that	others
1019	bore u r	others
1020	how is dubaiand which job you can do there	others
1021	good yeah do tell me when your here next time around how dubai	others
1022	plan to go next month dubai that whi iam ask you	others
1023	you stupid ... which color	angry
1024	radium colour . .	angry
1025	fuck you r lier	angry
1026	ur languag be like kinda languag	others
1027	english but i like to speak spanish and italian also	others
1028	ugh	others
1029	dont hate me pleas	angry
1030	whi would i : -/	angry
1031	cuz im batman	angry
1032	fine wht abt u	sad
1033	im fine too : ) how your exam ? : )	sad
1034	bad	sad
1035	dont talk with me in hindhi	others
1036	hey	others
1037	tell	others
1038	shut up	angry
1039	and what with all the `` i hate the full stop i hate that	angry
1040	stop non sens	angry
1041	let break up	angry
1042	sorri bro : (	angry
1043	i hate you	angry
1044	pl talk like my girlfriend for few second	others
1045	wait till you get a bf : )	others
1046	okay bt pl talk no	others
1047	harri potter or twilight	happy
1048	harri potter hand down 😽	happy
1049	yay even i am a potter head	happy
1050	😂 😂 😂 😂 😂 my girlfriend is a moodi girl	happy
1051	i can see smack smack 😂😂😂	happy
1052	😂 😂 😂 but she is veri sweet	happy
1053	you are fun	others
1054	im alway have fun ( ^・^ )	others
1055	do you like sex	others
1056	ye	others
1057	yay have fun	others
1058	tell me some stori	others
1059	ur father	angry
1060	i know	angry
1061	ur father fuck fool	angry
1062	pleas dont mind but ive no time to talk to a chatbot	angry
1063	a talk is alway good	angry
1064	ye it is but your rude	angry
1065	when will it be reveal	others
1066	: hope so ... realli hope so !	others
1067	can you reveal it now	others
1068	whi you got to be so rude	angry
1069	coz i hate southi food anyth wrong	angry
1070	even i hate most south food	angry
1071	go to hell with your feel	sad
1072	cant help how i feel	sad
1073	i want to make you an import part of my life but you hurt me so you dont deserv my attent ... .	sad
1074	so nice	others
1075	it is	others
1076	your name piss	others
1077	noth just chill out	others
1078	chill im back from colleg	others
1079	good	others
